Year,Age,ASFR
1959,30,0.12473
1959,31,0.10069
1959,32,0.08032
1959,33,0.0651
1959,34,0.05255
1959,35,0.04321
1959,36,0.03396
1959,37,0.02786
1959,38,0.02158
1959,39,0.01638
1959,40,0.01216
1959,41,0.00893
1959,42,0.00593
1959,43,0.00351
1959,44,0.002
1959,45,0.00101
1959,46,0.0005
1959,47,0.00024
1959,48,0.00012
1959,49,0.00006
1959,50,0.00007
1959,51,0.00005
1959,52,0.00003
1959,53,0.00001
1959,54,0.00001
1959,55+,0.00004
1960,-12,0
1960,13,0
1960,14,0.00001
1960,15,0.00005
1960,16,0.00039
1960,17,0.00167
1960,18,0.00517
1960,19,0.01408
1960,20,0.03108
1960,21,0.06149
1960,22,0.10589
1960,23,0.15158
1960,24,0.18343
1960,25,0.20369
1960,26,0.20134
1960,27,0.19387
1960,28,0.17362
1960,29,0.14665
1960,30,0.12193
1960,31,0.09702
1960,32,0.077
1960,33,0.05976
1960,34,0.0471
1960,35,0.03674
1960,36,0.02926
1960,37,0.02266
1960,38,0.01755
1960,39,0.01346
1960,40,0.00969
1960,41,0.007
1960,42,0.00476
1960,43,0.00286
1960,44,0.00158
1960,45,0.00084
1960,46,0.00038
1960,47,0.00028
1960,48,0.0001
1960,49,0.00008
1960,50,0.00004
1960,51,0.00004
1960,52,0.00003
1960,53,0.00001
1960,54,0.00002
1960,55+,0.00004
1961,-12,0
1961,13,0
1961,14,0.00001
1961,15,0.00004
1961,16,0.00036
1961,17,0.00157
1961,18,0.00503
1961,19,0.01318
1961,20,0.03029
1961,21,0.05744
1961,22,0.09812
1961,23,0.14806
1961,24,0.18455
1961,25,0.20052
1961,26,0.20627
1961,27,0.18966
1961,28,0.17405
1961,29,0.14841
1961,30,0.11992
1961,31,0.09566
1961,32,0.07467
1961,33,0.05808
1961,34,0.04313
1961,35,0.03286
1961,36,0.02534
1961,37,0.0198
1961,38,0.01506
1961,39,0.01147
1961,40,0.0085
1961,41,0.00591
1961,42,0.00398
1961,43,0.00241
1961,44,0.00132
1961,45,0.00069
1961,46,0.00033
1961,47,0.00019
1961,48,0.00013
1961,49,0.00006
1961,50,0.00003
1961,51,0.00001
1961,52,0.00001
1961,53,0.00002
1961,54,0.00001
1961,55+,0.00002
1962,-12,0
1962,13,0
1962,14,0.00001
1962,15,0.00006
1962,16,0.00033
1962,17,0.00157
1962,18,0.00521
1962,19,0.01316
1962,20,0.03001
1962,21,0.06018
1962,22,0.09935
1962,23,0.14602
1962,24,0.18758
1962,25,0.20864
1962,26,0.20815
1962,27,0.19849
1962,28,0.17324
1962,29,0.14963
1962,30,0.12308
1962,31,0.09499
1962,32,0.07299
1962,33,0.05681
1962,34,0.04269
1962,35,0.03106
1962,36,0.02318
1962,37,0.01764
1962,38,0.01328
1962,39,0.00961
1962,40,0.0073
1962,41,0.00513
1962,42,0.00318
1962,43,0.00209
1962,44,0.0012
1962,45,0.00061
1962,46,0.00031
1962,47,0.00017
1962,48,0.00011
1962,49,0.00008
1962,50,0.00003
1962,51,0
1962,52,0.00001
1962,53,0
1962,54,0
1962,55+,0.00001
1963,-12,0
1963,13,0
1963,14,0.00001
1963,15,0.00004
1963,16,0.00031
1963,17,0.00158
1963,18,0.00526
1963,19,0.01308
1963,20,0.02933
1963,21,0.05869
1963,22,0.10153
1963,23,0.1471
1963,24,0.18368
1963,25,0.20982
1963,26,0.21446
1963,27,0.1995
1963,28,0.1822
1963,29,0.15099
1963,30,0.1271
1963,31,0.10046
1963,32,0.07539
1963,33,0.05766
1963,34,0.04296
1963,35,0.03196
1963,36,0.02309
1963,37,0.01696
1963,38,0.01244
1963,39,0.00922
1963,40,0.00645
1963,41,0.00471
1963,42,0.00306
1963,43,0.00182
1963,44,0.00104
1963,45,0.00051
1963,46,0.00027
1963,47,0.00013
1963,48,0.00008
1963,49,0.00005
1963,50,0.00001
1963,51,0
1963,52,0
1963,53,0
1963,54,0
1963,55+,0
1964,-12,0
1964,13,0
1964,14,0.00001
1964,15,0.00004
1964,16,0.0003
1964,17,0.00158
1964,18,0.00497
1964,19,0.01368
1964,20,0.02945
1964,21,0.058
1964,22,0.10172
1964,23,0.15426
1964,24,0.19121
1964,25,0.21057
1964,26,0.21823
1964,27,0.20761
1964,28,0.18294
1964,29,0.1583
1964,30,0.12755
1964,31,0.10296
1964,32,0.07921
1964,33,0.05839
1964,34,0.04409
